max_threads,problem_size,diameter_onePunch,time_cost_a,diameter_originParallel,time_cost_b,diameter_origin,time_cost_c,
8,100,380,28457,424,2722,380,4275,
8,130,356,6180,356,3812,356,9155,
8,160,277,8081,277,5793,277,17089,
8,190,253,16333,253,9001,253,28605,
8,100,380,6662,380,3034,380,4394,
8,130,356,6112,356,5098,356,9200,
8,160,277,9125,277,8893,277,16980,
8,190,253,14588,253,11525,253,28973,
32,1000,64,685363,64,387503,64,5236579,
32,1500,49,1838325,49,1120255,49,17576167,
32,2000,42,4332608,42,2607311,42,41347125,
32,2500,34,8310237,34,5044593,34,80800454,
32,3000,28,14357306,28,8621382,28,139179726,
32,3500,25,23224957,25,13597499,25,221049743,
32,4000,22,33589189,22,19871559,22,328235638,
32,4500,21,48042976,21,28549409,21,464817251,
32,5000,20,66626734,20,39356948,20,630737152,
32,5500,19,89799389,19,52024889,19,833432125,
32,6000,18,112347810,18,66582751,18,1077099954,
32,6500,16,143485160,16,84670848,16,1365510749,
32,7000,15,173874772,15,104720380,15,1698524408,

32,10,3062,18656,3062,27822,3062,15,
32,20,990,36161,990,32885,990,64,
32,30,953,31537,953,37512,953,184,
32,40,745,16253,745,15906,745,419,
32,50,598,21604,600,64715,598,794,
32,60,509,41680,534,62192,509,1310,
32,70,548,15785,548,69897,548,2090,
32,80,436,34451,439,36571,436,3046,
32,90,558,29406,558,6798,558,4302,
32,100,380,16449,380,55579,380,5893,
32,110,426,25706,429,46676,426,7906,
32,120,310,15764,318,33799,310,9940,
32,130,356,34150,356,55777,356,12618,
32,140,371,21344,371,14642,371,15713,
32,150,281,27414,281,75867,281,19176,
32,160,277,32828,277,59297,277,23178,
32,170,274,18364,277,22694,274,27914,
32,180,248,9855,248,58622,248,32822,
32,190,253,20544,253,59038,253,38162,
32,200,231,38670,231,20699,231,44522,
32,210,263,28667,273,66628,263,51329,
32,220,274,35166,274,25996,274,59046,
32,230,231,16507,240,17044,231,67148,
32,240,250,42840,250,25018,250,75534,
32,250,246,36343,246,33066,246,84964,
32,260,222,38540,222,52783,222,96686,
32,270,203,37358,227,59071,203,119991,
32,280,184,38428,184,41145,184,120428,
32,290,220,40994,222,64443,220,135138,
32,300,201,39510,201,28780,201,146480,
32,310,233,41218,233,25584,233,161788,
32,320,178,35040,178,29412,178,177874,
32,330,183,42807,183,41715,183,195185,
32,340,162,39145,162,36276,162,212061,
32,350,160,42799,160,36997,160,231860,
32,360,183,55968,183,29047,183,250748,
32,370,166,55161,166,67777,166,273098,
32,380,159,55548,159,77796,159,295074,
32,390,160,66751,167,41856,160,318993,
32,400,148,60872,148,72600,148,343560,
32,410,151,61091,151,43573,151,369791,
32,420,120,57353,120,64152,120,395898,
32,430,124,77022,129,48912,124,425531,
32,440,143,62866,143,45930,143,456668,
32,450,139,82006,139,43764,139,490659,
32,460,136,72847,140,112633,136,529982,
32,470,126,81314,126,48921,126,562807,
32,480,135,72427,135,60286,135,597796,
32,490,147,70891,147,52630,147,637946,
32,500,144,101179,144,54474,144,677491,
32,510,120,79571,120,73833,120,719328,
32,520,119,86893,119,62555,119,762729,
32,530,104,113370,104,70154,104,802438,
32,540,137,99740,137,67674,137,850323,
32,550,118,104388,118,97052,118,897726,
32,560,109,89813,109,64452,109,944547,
32,570,100,109294,100,73853,100,998728,
32,580,112,118410,112,94033,112,1050172,
32,590,105,118890,105,72370,105,1104879,
32,600,115,135803,115,84532,115,1163469,
32,610,118,117730,118,93302,118,1218445,
32,620,113,160595,113,89268,113,1276423,
32,630,93,129210,93,95848,93,1349137,
32,640,97,165887,97,96267,97,1402454,
32,650,112,153871,112,101209,112,1471005,
32,660,108,203024,109,107507,108,1536174,
32,670,101,143645,101,116430,101,1603383,
32,680,100,184426,100,154887,100,1677530,
32,690,83,181637,83,107724,83,1747465,
32,700,88,162557,88,133180,88,1826528,
32,710,91,194562,91,117771,91,1913355,
32,720,94,239066,94,123361,94,1982980,
32,730,78,207700,78,131897,78,2061918,
32,740,82,227550,85,131524,82,2149814,
32,750,86,284127,86,162676,86,2234353,
32,760,91,243281,91,158960,91,2328998,
32,770,85,243138,85,185113,85,2417324,
32,780,85,245699,85,173483,85,2544544,
32,790,82,267902,82,179332,82,2611107,
32,800,89,269851,89,177650,89,2702222,
32,810,78,288396,78,188928,78,2810933,
32,820,78,285679,78,191858,78,2933458,
32,830,82,305243,82,198969,82,3010355,
32,840,68,301621,68,199978,68,3128100,
32,850,79,312862,79,257882,79,3225914,
32,860,80,306220,80,229772,80,3343554,
32,870,91,350083,91,227454,91,3463646,
32,880,80,376186,80,303522,80,3593655,
32,890,65,350129,65,250947,65,3703871,
32,900,67,375131,67,238546,67,3833469,
32,910,75,384188,75,244032,75,3952000,
32,920,75,417511,75,281966,75,4073762,
32,930,70,406342,70,280157,70,4239546,
32,940,69,480990,73,284703,69,4347792,
32,950,70,477569,70,295651,70,4482789,
32,960,70,619159,72,302773,70,4691014,
32,970,67,560906,69,303526,67,4767136,
32,980,68,519607,68,335572,68,4910734,
32,990,67,501131,67,342509,67,5065794,
32,1000,64,529050,64,352995,64,5221311,
32,7500,14,220601048,14,129649102,14,2093216850,
32,8000,15,260641088,15,156798289,15,2534947229,
32,8500,14,312882567,14,186593363,14,3039633570,
32,9000,13,368694860,13,221384140,13,3605556928,
32,9500,13,435364292,13,260097434,13,4235663071,
32,10000,12,510032612,12,303037572,
